date,count
1970-01-01,221
2013-04-03,21
2013-04-04,7
2013-04-05,6
2013-04-07,37
2013-09-26,4
2013-09-27,3
2013-09-28,49
2013-10-04,2
2013-10-08,1
2013-10-10,1
2013-10-19,1
2013-11-24,7
2013-11-26,14
2013-11-27,5
2013-12-01,7
2014-01-04,1
2014-01-06,5
2014-01-07,17
2014-01-08,3
2014-01-09,33
2014-01-13,18
2014-01-14,10
2014-01-16,15
2014-01-17,25
2014-01-18,21
2014-01-19,31
2014-01-20,11
2014-01-21,28
2014-01-22,10
2014-01-23,49
2014-01-24,1
2014-01-25,8
2014-01-26,23
2014-01-27,20
2014-01-28,11
2014-01-29,7
2014-01-30,7
2014-02-02,18
2014-02-03,8
2014-02-04,9
2014-02-05,44
2014-02-07,4
2014-02-11,3
2014-02-15,8
2014-02-22,3
2014-02-23,76
2014-02-24,2
2014-02-26,23
2014-02-28,5
2014-03-01,9
2014-03-02,34
2014-03-03,8
2014-03-05,7
2014-03-07,2
2014-03-08,6
2014-03-09,21
2014-03-10,5
2014-03-12,2
2014-03-13,5
2014-03-20,2
2014-03-21,6
2014-03-22,3
2014-03-23,8
2014-03-25,18
2014-03-26,12
2014-03-27,4
2014-03-29,24
2014-03-30,7
2014-03-31,28
2014-04-01,32
2014-04-02,8
2014-04-03,5
2014-04-05,19
2014-04-06,81
2014-04-07,59
2014-04-08,43
2014-04-09,14
2014-04-10,13
2014-04-11,14
2014-04-14,11
2014-04-15,20
2014-04-16,36
2014-04-17,18
2014-04-18,41
2014-04-19,21
2014-04-20,66
2014-04-21,61
2014-04-22,14
2014-04-23,58
2014-04-24,48
2014-04-25,13
2014-04-26,16
2014-04-27,5
2014-04-28,34
2014-04-29,38
2014-04-30,55
2014-05-01,6
2014-05-02,1
2014-05-03,14
2014-05-04,84
2014-05-05,49
2014-05-06,12
2014-05-07,77
2014-05-08,39
2014-05-09,24
2014-05-10,33
2014-05-11,62
2014-05-12,34
2014-05-13,18
2014-05-14,14
2014-05-16,44
2014-05-17,4
2014-05-18,43
2014-05-20,23
2014-05-22,15
2014-05-23,46
2014-05-24,23
2014-05-25,2
2014-05-27,2
2014-05-28,9
2014-05-29,87
2014-05-30,32
2014-06-01,58
2014-06-02,68
2014-06-03,27
2014-06-06,44
2014-06-07,118
2014-06-08,142
2014-06-09,16
2014-06-10,75
2014-06-11,84
2014-06-14,74
2014-06-15,73
2014-06-16,57
2014-06-17,57
2014-06-18,19
2014-06-20,78
2014-06-21,66
2014-06-22,75
2014-06-23,96
2014-06-24,44
2014-06-25,74
2014-06-26,73
2014-06-27,143
2014-06-28,1
2014-06-29,58
2014-06-30,46
2014-07-01,69
2014-07-02,64
2014-07-03,16
