date,count
1970-01-01,221
2013-04-03,10
2013-04-04,2
2013-04-05,2
2013-04-07,11
2013-09-26,3
2013-09-27,2
2013-09-28,20
2013-10-04,2
2013-10-08,1
2013-10-10,1
2013-10-19,1
2013-11-24,5
2013-11-26,10
2013-11-27,1
2013-12-01,2
2014-01-07,4
2014-01-09,8
2014-01-13,1
2014-01-16,8
2014-01-17,18
2014-01-18,8
2014-01-19,6
2014-01-20,4
2014-01-21,4
2014-01-23,40
2014-01-27,6
2014-01-28,1
2014-01-29,1
2014-02-02,6
2014-02-03,2
2014-02-04,6
2014-02-05,10
2014-02-11,3
2014-02-15,1
2014-02-23,4
2014-02-26,1
2014-02-28,3
2014-03-01,1
2014-03-02,9
2014-03-03,2
2014-03-13,2
2014-03-29,5
2014-03-30,1
2014-03-31,7
2014-04-05,2
2014-04-06,6
2014-04-14,4
2014-04-15,5
2014-04-16,1
2014-04-18,10
2014-04-19,1
2014-04-20,28
2014-04-21,22
2014-04-22,6
2014-04-23,14
2014-04-24,9
2014-04-25,6
2014-04-26,6
2014-04-28,16
2014-04-29,11
2014-04-30,18
2014-05-01,2
2014-05-04,26
2014-05-05,25
2014-05-07,23
2014-05-08,23
2014-05-12,6
2014-05-13,11
2014-05-14,1
2014-05-16,23
2014-05-17,1
2014-05-18,20
2014-05-20,10
2014-05-22,6
2014-05-23,17
2014-05-24,8
2014-05-28,2
2014-05-29,51
2014-05-30,5
2014-06-01,28
2014-06-02,35
2014-06-03,9
2014-06-06,22
2014-06-07,34
2014-06-08,17
2014-06-10,4
2014-06-11,14
2014-06-14,12
2014-06-15,10
2014-06-16,9
2014-06-17,27
2014-06-18,8
2014-06-20,23
2014-06-21,32
2014-06-22,21
2014-06-23,27
2014-06-24,13
2014-06-25,23
2014-06-26,1
2014-06-27,1
2014-06-29,2
2014-06-30,9
2014-07-01,17
2014-07-02,16
2014-07-03,4
2014-07-04,3
2014-07-05,8
2014-07-06,17
2014-07-07,3
2014-07-08,3
2014-07-10,14
2014-07-11,4
2014-07-16,13
2014-07-17,8
2014-08-07,2
2014-08-19,1
2014-09-10,10
2014-09-18,1
2014-09-19,23
2014-10-01,10
2014-10-07,1
2014-10-08,64
2014-10-09,13
2014-10-10,26
2014-10-11,9
2014-10-12,8
2014-10-13,19
2014-10-14,23
2014-10-15,1
2014-10-16,7
2014-10-18,34
2014-10-19,13
2014-10-21,3
2014-10-22,10
2014-10-23,21
2014-10-24,1
2014-10-26,22
2014-10-28,2
2014-10-30,4
2014-10-31,13
2014-11-01,30
2014-11-02,74
2014-11-03,31
2014-11-04,37
2014-11-05,19
2014-11-06,36
2014-11-07,5
2014-11-08,12
2014-11-09,18
2014-11-10,46
2014-11-11,27
2014-11-12,27
2014-11-13,25
2014-11-14,21
2014-11-15,43
2014-11-16,34
2014-11-17,4
2014-11-18,4
2014-11-19,19
2014-11-20,23
2014-11-21,2
2014-11-22,5
2014-11-23,6
2014-11-24,17
2014-11-26,19
2014-11-27,1
2014-12-03,7
2014-12-04,9
2014-12-05,6
2014-12-10,7
2014-12-11,2
2014-12-12,1
2014-12-14,36
2014-12-15,18
2014-12-18,2
2014-12-19,1
2014-12-21,12
2014-12-23,9
2014-12-24,3
2014-12-29,10
2015-01-01,17
2015-01-02,9
2015-01-03,9
2015-01-04,23
2015-01-05,11
2015-01-07,29
2015-01-08,55
2015-01-09,9
2015-01-10,32
2015-01-11,34
2015-01-12,25
2015-01-13,9
2015-01-14,2
2015-01-22,287
2015-02-07,3
2015-02-15,5
2015-02-16,3
2015-02-17,6
2015-02-18,3
2015-02-20,4
2015-02-21,2
2015-02-22,1
2015-02-23,1
2015-02-24,5
2015-02-25,10
2015-02-26,4
2015-02-27,2
2015-02-28,7
2015-03-01,43
2015-03-02,33
2015-03-03,23
2015-03-04,4
2015-03-10,1
2015-03-11,3
2015-03-12,5
2015-03-20,11
2015-03-21,7
2015-03-22,4
2015-03-24,3
2015-03-28,6
2015-03-31,1
2015-04-01,1
2015-04-09,4
2015-04-15,7
2015-04-20,3
2015-04-22,6
2015-04-23,1
2015-04-25,1
2015-04-26,19
2015-04-27,1
2015-04-29,3
2015-05-01,6
2015-05-02,1
2015-05-03,4
2015-05-07,2
2015-05-11,5
2015-05-13,3
2015-05-14,1
2015-05-15,6
2015-05-17,1
2015-05-18,8
2015-05-20,16
2015-05-21,37
2015-05-23,2
2015-05-24,4
2015-05-25,3
2015-05-26,13
2015-05-27,6
2015-05-28,12
2015-06-01,7
2015-06-02,8
2015-06-03,3
2015-06-05,10
2015-06-07,1
2015-06-08,6
2015-06-09,1
2015-06-13,3
2015-06-15,1
2015-06-16,2
2015-06-17,6
2015-06-21,1
2015-06-22,7
2015-06-24,3
2015-06-28,1
2015-06-29,1
2015-07-02,2
2015-07-06,2
2015-07-07,3
2015-07-08,2
2015-07-09,1
2015-07-11,7
2015-07-12,6
2015-07-13,1
2015-07-17,2
2015-07-18,10
