date,count
2014-08-11,1
2014-08-12,3
2014-08-13,6
2014-08-14,1
2014-08-15,4
2014-08-16,2
2014-08-18,1
2014-08-19,4
2014-08-20,3
2014-08-21,5
2014-08-22,5
2014-08-23,3
2014-08-24,1
2014-08-25,4
2014-08-26,9
2014-08-27,5
2014-08-28,5
2014-08-29,2
2014-08-30,2
2014-09-01,2
2014-09-02,1
2014-09-03,5
2014-09-04,5
2014-09-05,5
2014-09-06,3
2014-09-08,4
2014-09-09,5
2014-09-10,3
2014-09-11,5
2014-09-12,14
2014-09-13,1
2014-09-15,5
2014-09-16,5
2014-09-17,6
2014-09-18,7
2014-09-19,16
2014-09-20,2
2014-09-22,4
2014-09-23,13
2014-09-24,5
2014-09-25,6
2014-09-26,4
2014-09-27,3
2014-09-29,4
2014-09-30,3
2014-10-01,4
2014-10-02,27
2014-10-03,5
2014-10-04,3
2014-10-05,1
2014-10-06,5
2014-10-07,5
2014-10-08,6
2014-10-09,6
2014-10-10,10
2014-10-11,3
2014-10-13,3
2014-10-14,5
2014-10-15,7
2014-10-16,4
2014-10-17,4
2014-10-18,3
2014-10-20,5
2014-10-21,4
2014-10-22,1
2014-10-23,5
2014-10-25,3
2014-10-27,5
2014-10-28,3
2014-10-29,5
2014-10-30,5
2014-10-31,16
2014-11-01,1
2014-11-05,2
2014-11-06,2
2014-11-07,3
2014-11-08,3
2014-11-10,8
2014-11-11,9
2014-11-12,7
2014-11-13,12
2014-11-14,12
2014-11-15,9
2014-11-17,7
2014-11-18,5
2014-11-19,7
2014-11-20,8
2014-11-21,31
2014-11-22,4
2014-11-24,3
2014-11-25,11
2014-11-26,6
2014-11-27,3
2014-11-28,3
2014-11-29,3
2014-12-01,5
2014-12-02,6
2014-12-03,6
2014-12-04,5
2014-12-05,7
2014-12-06,3
2014-12-07,1
2014-12-08,5
2014-12-09,11
2014-12-10,5
2014-12-11,5
2014-12-12,5
2014-12-13,4
2014-12-14,4
2014-12-15,10
2014-12-16,3
2014-12-17,6
2014-12-18,5
2014-12-19,4
2014-12-20,3
2014-12-22,3
2014-12-23,6
2014-12-24,1
2014-12-25,2
2014-12-26,2
2014-12-27,1
2014-12-28,1
2014-12-29,7
2014-12-30,8
2014-12-31,9
2015-01-01,4
2015-01-02,2
2015-01-03,1
2015-01-04,1
2015-01-05,3
2015-01-06,3
2015-01-07,14
2015-01-08,3
2015-01-09,4
2015-01-10,2
2015-01-12,11
2015-01-13,2
2015-01-14,6
2015-01-15,6
2015-01-16,4
2015-01-17,2
2015-01-18,2
2015-01-19,2
2015-01-20,7
2015-01-21,60
2015-01-22,6
2015-01-23,3
2015-01-24,2
2015-01-25,1
2015-01-26,3
2015-01-27,1
2015-01-28,1
2015-01-29,2
2015-01-30,4
2015-01-31,2
2015-02-02,4
2015-02-03,1
2015-02-04,3
2015-02-05,3
2015-02-06,13
2015-02-07,1
2015-02-09,4
2015-02-10,2
2015-02-11,3
2015-02-12,4
2015-02-13,3
2015-02-14,4
2015-02-15,1
2015-02-16,1
2015-02-17,1
2015-02-18,3
2015-02-19,3
2015-02-20,2
2015-02-22,1
2015-02-23,5
2015-02-24,3
2015-02-25,3
2015-02-26,5
2015-02-27,5
2015-02-28,1
2015-03-02,2
2015-03-03,3
2015-03-04,2
2015-03-05,3
2015-03-06,4
2015-03-07,20
2015-03-08,2
2015-03-09,2
2015-03-10,17
2015-03-11,2
2015-03-12,3
2015-03-13,3
2015-03-14,1
2015-03-16,2
2015-03-17,2
2015-03-18,21
2015-03-19,3
2015-03-20,2
2015-03-21,1
2015-03-23,4
2015-03-24,3
2015-03-25,5
2015-03-26,16
2015-03-27,3
2015-03-28,3
2015-03-30,4
2015-03-31,5
2015-04-01,4
2015-04-02,6
2015-04-03,9
2015-04-04,1
2015-04-06,4
2015-04-07,4
2015-04-08,4
2015-04-09,3
2015-04-10,4
2015-04-11,2
2015-04-13,3
2015-04-14,3
2015-04-15,5
2015-04-16,11
2015-04-17,3
2015-04-18,2
2015-04-20,4
2015-04-21,3
2015-04-22,14
2015-04-23,20
2015-04-24,3
2015-04-25,3
2015-04-26,1
2015-04-27,4
2015-04-28,1
2015-04-29,6
2015-04-30,4
2015-05-01,3
2015-05-02,2
2015-05-04,4
2015-05-05,3
2015-05-06,2
2015-05-07,3
2015-05-08,11
2015-05-09,2
2015-05-11,4
2015-05-12,4
2015-05-13,3
2015-05-14,5
2015-05-15,4
2015-05-16,2
2015-05-18,4
2015-05-19,4
2015-05-20,13
2015-05-21,5
2015-05-22,4
2015-05-23,3
2015-05-25,1
2015-05-26,4
2015-05-27,4
2015-05-28,5
2015-05-29,4
2015-05-30,1
2015-05-31,1
2015-06-01,4
2015-06-02,4
2015-06-03,3
2015-06-04,3
2015-06-05,4
2015-06-06,4
2015-06-08,4
2015-06-09,4
2015-06-10,3
2015-06-11,3
2015-06-12,5
2015-06-13,2
2015-06-14,1
2015-06-15,3
2015-06-16,3
2015-06-17,4
2015-06-18,3
2015-06-19,4
2015-06-20,4
2015-06-22,5
2015-06-23,5
2015-06-24,4
2015-06-25,18
2015-06-26,18
2015-06-27,7
2015-06-28,2
2015-06-29,7
2015-06-30,7
2015-07-01,13
2015-07-02,33
2015-07-04,2
2015-07-05,1
2015-07-06,3
2015-07-07,4
2015-07-08,3
2015-07-09,4
2015-07-10,4
2015-07-11,2
2015-07-13,5
2015-07-14,50
2015-07-15,5
2015-07-16,1
2015-07-17,4
2015-07-18,2
2015-07-20,8
2015-07-21,3
2015-07-22,2
2015-07-23,4
2015-07-24,3
2015-07-25,2
2015-07-27,3
2015-07-28,3
2015-07-29,1
2015-07-30,5
2015-07-31,3
2015-08-01,3
2015-08-02,2
2015-08-03,5
2015-08-04,4
2015-08-05,38
2015-08-06,4
2015-08-07,4
2015-08-08,2
2015-08-10,3
2015-08-11,4
2015-08-12,6
2015-08-13,5
2015-08-14,4
2015-08-15,1
2015-08-17,4
2015-08-18,3
2015-08-19,5
2015-08-20,3
