post,pre
22893,6026
6026,2873
2873,2821
2821,2717
2717,1179
1179,11955
11955,15499
15499,1582
1582,11371
11371,46487
46487,5588
5588,15516
15516,8774
8774,217
217,18464
18464,4563
4563,32967
32967,2690
2690,11
11,0
0,14239
14239,95473
95473,52
52,1042
1042,230
230,133
133,1149
1149,113
113,106
106,1379
1379,189
189,897
897,109
109,128
128,142
142,121
121,1056
1056,8
8,117
117,123
123,68
68,86
86,1032
1032,3210
3210,102
102,1010
1010,45
45,67
67,89
89,110
110,97
97,1194
1194,118
118,67
67,85
85,1146
1146,113
113,96
96,59
59,1072
1072,81
81,79
79,105
105,105
105,3994
3994,246
246,104
104,1093
1093,115
115,54
54,23
23,34
34,78
78,1165
1165,123
123,131
131,46
46,1148
1148,95
95,74
74,85
85,1051
1051,66
66,141
141,134
134,59
59,3
3,3972
3972,117
117,108
108,72
72,1127
1127,61
61,120
120,95
95,89
89,1102
1102,7
7,70
70,106
106,81
81,70
70,925
925,161
161,75
75,83
83,72
72,114
114,5368
5368,84
84,44
44,112
112,105
105,62
62,74
74,1163
1163,72
72,93
93,1098
1098,45
45,74
74,220
220,1159
1159,122
122,94
94,105
105,1150
1150,93
93,89
89,84
84,2844
2844,79
79,1034
1034,81
81,143
143,110
110,1081
1081,134
134,101
101,86
86,80
80,1283
1283,153
153,1092
1092,81
81,165
165,88
88,1110
1110,119
119,92
92,91
91,4002
4002,66
66,61
61,60
60,65
65,59
59,1058
1058,56
56,141
141,86
86,95
95,1200
1200,124
124,79
79,96
96,1166
1166,300
300,1385
1385,3900
3900,61
61,88
88,59
59,90
90,90
90,1110
1110,153
153,131
131,84
84,50
50,1060
1060,100
100,74
74,70
70,76
76,1089
1089,65
65,58
58,175
175,75
75,1115
1115,89
89,78
78,147
147,3963
3963,50
50,59
59,88
88,158
158,1169
1169,64
64,55
55,1192
1192,106
106,132
132,115
115,1075
1075,98
98,81
81,119
119,114
114,1380
1380,2821
2821,54
54,1059
1059,147
147,91
91,86
86,111
111,1084
1084,92
92,146
146,67
67,1217
1217,124
124,73
73,1087
1087,27
27,106
106,114
114,152
152,1100
1100,124
124,111
111,4041
4041,103
103,88
88,101
101,89
89,1040
1040,108
108,266
266,1103
1103,62
62,108
108,134
134,72
72,1173
1173,1291
1291,161
161,105
105,97
97,2819
2819,63
63,1248
1248,122
122,116
116,1038
1038,62
62,240
240,67
67,1111
1111,92
92,159
159,87
87,1177
1177,73
73,134
134,102
102,1083
1083,118
118,102
102,95
95,2674
2674,72
72,1189
1189,106
106,89
89,114
114,87
87,1038
1038,84
84,102
102,76
76,98
98,1169
1169,170
170,119
119,1123
1123,113
113,121
121,119
119,1079
1079,79
79,87
87,92
92,84
84,2639
2639,1325
1325,102
102,71
71,88
88,66
66,71
71,961
961,148
148,135
135,83
83,118
118,892
892,109
109,96
96,91
91,83
83,94
94,1130
1130,60
60,83
83,100
100,73
73,1109
1109,133
133,118
118,69
69,2679
2679,82
82,56
56,1217
1217,76
76,82
82,92
92,1169
1169,59
59,166
166,83
83,1192
1192,134
134,105
105,1145
1145,47
47,69
69,130
130,72
72,1064
1064,55
55,66
66,85
85,60
60,66
66,2761
2761,105
105,1407
1407,78
78,1113
1113,96
96,77
77,116
116,1224
1224,120
120,115
115,1407
1407,1166
1166,118
118,122
122,1178
1178,3005
3005,1290
1290,174
174,126
126,1449
1449,1290
1290,108
108,5886
5886,995
995,4695
4695,1242
1242,1693
1693,1031
1031,59
59,96
96,5
5,113
113,82
82,800
800,149
149,131
131,145
145,99
99,135
135,1023
1023,73
73,1601
1601,59
59,61
61,59
59,1111
1111,26
