post,pre
19,102
102,5
5,36
36,1086
1086,23
23,4
4,7
7,21
21,5
5,7
7,4
4,8
8,1188
1188,2210
2210,13
13,4
4,1277
1277,302
302,4
4,5
5,11
11,638
638,33
33,9
9,6
6,1865
1865,11
11,8
8,274
274,826
826,19
19,796
796,35
35,30
30,6
6,4
4,5
5,228
228,765
765,1
1,43
43,1309
1309,36
36,4
4,5
5,7
7,108
108,4
4,113
113,39
39,1120
1120,10
10,11
11,142
142,4
4,53
53,4
4,1103
1103,16
16,2
2,15
15,5
5,750
750,6
6,15
15,2
2,7
7,13
13,9
9,5
5,215
215,8
8,7
7,442
442,8
8,7
7,11
11,13
13,4
4,4
4,73
73,7
7,15
15,11
11,789
789,40
40,11
11,201
201,3
3,7
7,148
148,1039
1039,32
32,5
5,762
762,218
218,5
5,6
6,189
189,7
7,6
6,4
4,5
5,16
16,3
3,10
10,8
8,4
4,10
10,5
5,5
5,8
8,8
8,161
161,7
7,6
6,4
4,4
4,79
79,3
3,2
2,5
5,16
16,9
9,3
3,55
55,4
4,182
182,628
628,149
149,6
6,20
20,4342
4342,3
3,231
231,24
24,4
4,7
7,2612
2612,2983
2983,7
7,3
3,54
54,14
14,1207
1207,19
19,20
20,14
14,3038
3038,211
211,1110
1110,13
13,1
1,415
415,9
9,16
16,901
901,496
496,87
87,21
21,916
916,16
16,17
17,9
9,16
16,48
48,18
18,163
163,1357
1357,289
289,4355
4355,2246
2246,47
47,3
3,9259
9259,744
744,22
22,4
4,23
23,5
5,5
5,31
31,4
4,1902
1902,32
32,794
794,4
4,3
3,6
6,19
19,7
7,1488
1488,5809
5809,8903
8903,6
6,4
4,4
4,2
2,4
4,4
4,8
8,4515
4515,5
5,7
7,773
773,11
11,43
43,6502
6502,7
7,3
3,689
689,3
3,32
32,5
5,455
455,3049
3049,1568
1568,2450
2450,5
5,294
294,35
35,13
13,16
16,3878
3878,2871
2871,5367
5367,3563
3563,8
8,7
7,9
9,10
10,15
15,30
30,1380
1380,719
719,2
2,8
8,9
9,19
19,5
5,828
828,74
74,9325
9325,10
10,30
30,38
38,7
7,48
48,12
12,1592
1592,39
39,131
131,10
10,1330
1330,5
5,8
8,5
5,4
4,23
23,36
36,23
23,5
5,4
4,4
4,4
4,25
25,3
3,29
29,12
12,5410
5410,11
11,40
40,1465
1465,4
4,1011
1011,15
15,26
26,4
4,1547
1547,20
20,3
3,10
10,23
23,4
4,1670
1670,226
226,14
14,4
4,3
3,22
22,2937
2937,2458
2458,10
10,10
10,4226
4226,3168
3168,2485
2485,3
3,4
4,10
10,9
9,17
17,7
7,33
33,2988
2988,51
51,1600
1600,5
5,9
9,1110
1110,5666
5666,17
17,4454
4454,461
461,7
7,609
609,12
12,296
