post,pre
2,3
3,4
4,6
6,4
4,100
100,2
2,5
5,4
4,6
6,23
23,3
3,86
86,985
985,4
4,11
11,5
5,18
18,4
4,7
7,21
21,5
5,7
7,4
4,5
5,3
3,4
4,3
3,3
3,1148
1148,3
3,5
5,5
5,5
5,4
4,8
8,5
5,388
388,4
4,4
4,5
5,5
5,4
4,17
17,5
5,7
7,4
4,4
4,3
3,6
6,4
4,6
6,4
4,6
6,4
4,986
986,6
6,476
476,5
5,5
5,9
9,3
3,167
167,53
53,7
7,3
3,5
5,13
13,4
4,4
4,94
94,59
59,6
6,6
6,5
5,5
5,34
34,5
5,4
4,1043
1043,5
5,7
7,11
11,18
18,217
217,56
56,4
4,5
5,4
4,3
3,4
4,4
4,5
5,6
6,2
2,618
618,3
3,5
5,4
4,8
8,6
6,6
6,4
4,4
4,5
5,6
6,6
6,486
486,4
4,31
31,84
84,741
741,6
6,468
468,35
35,4
4,3
3,5
5,3
3,4
4,4
4,5
5,3
3,5
5,257
257,4
4,6
6,12
12,5
5,4
4,5
5,5
5,4
4,4
4,4
4,90
90,5
5,3
3,5
5,526
526,5
5,39
39,4
4,5
5,4
4,4
4,5
5,82
82,4
4,7
7,3
3,5
5,4
4,3
3,97
97,3
3,4
4,5
5,428
428,250
250,2
2,4
4,5
5,4
4,3
3,7
7,5
5,4
4,3
3,22
22,8
8,6
6,4
4,5
5,28
28,157
157,6
6,12
12,3
3,7
7,4
4,7
7,4
4,7
7,5
5,5
5,4
4,6
6,3
3,34
34,685
685,4
4,4
4,4
4,4
4,1
1,37
37,6
6,9
9,4
4,1288
1288,3
3,5
5,11
11,5
5,4
4,6
6,10
10,4
4,5
5,7
7,64
64,7
7,2
2,5
5,3
3,6
6,4
4,5
5,5
5,7
7,4
4,113
113,5
5,4
4,4
4,5
5,5
5,5
5,5
5,6
6,4
4,746
746,8
8,4
4,89
89,4
4,4
4,58
58,4
4,4
4,3
3,165
165,6
6,9
9,8
8,4
4,4
4,5
5,1
1,5
5,6
6,2
2,3
3,11
11,82
82,4
4,6
6,5
5,7
7,4
4,4
4,6
6,8
8,4
4,53
53,4
4,5
5,2
2,5
5,5
5,9
9,2
2,6
6,4
4,4
4,6
6,1027
1027,21
21,7
7,4
4,4
4,2
2,6
6,2
2,10
10,5
5,5
5,320
320,5
5,425
425,6
6,7
7,8
8,2
2,7
7,6
6,7
7,4
4,5
5,5
5,6
6,202
202,3
3,4
4,8
8,4
4,3
3,4
4,438
438,4
4,4
4,5
5,2
2,3
3,5
5,3
3,13
13,4
4,4
4,5
5,3
3,65
65,7
7,15
15,5
5,6
6,7
7,777
777,5
5,4
4,36
36,3
3,8
8,5
5,191
191,5
5,3
3,7
7,148
148,23
23,1016
1016,6
6,3
3,11
11,12
12,5
5,5
5,753
753,4
4,218
218,5
5,6
6,189
189,7
7,6
6,4
4,5
5,11
11,5
5,3
3,10
10,4
4,4
4,4
4,8
8,2
2,5
5,5
5,4
4,4
4,8
8,161
161,7
7,6
6,4
4,4
4,79
79,3
3,2
2,5
5,16
16,9
9,3
3,55
55,4
4,78
78,4
4,7
7,4
4,4
4,9
9,5
5,8
8,5
5,5
5,3
3,5
5,5
5,5
5,10
10,6
6,6
6,6
6,4
4,3
3,6
6,6
6,6
6,5
5,582
582,8
8,7
7,8
8,7
7,4
4,4
4,5
5,5
5,81
81,4
4,6
6,4
4,2
2,5
5,5
5,8
8,6
6,3
3,6
6,6
6,5
5,9
9,10
10,6
6,3
3,3
3,13
13,5
5,5
5,131
131,1718
1718,1101
1101,4
4,6
6,1168
1168,4
4,5
5,5
5,5
5,4
4,5
5,6
6,4
4,4
4,6
6,5
5,5
