Book,Author,x,y
A Christmas Carol,Charles Dickens,-15.8574511112,-0.37217386193
A Connecticut Yankee in King Arthur's Court,Mark Twain,-0.148061249539,0.306319284212
A Study in Scarlet,Arthur Conan Doyle,-11.92628668,-0.393029774032
A Tale of Two Cities,Charles Dickens,5.66269458926,0.585708451607
Adventures of Huckleberry Finn,Mark Twain,-2.59540304381,1.70045523725
Bleak House,Charles Dickens,36.3492974559,0.33271833453
David Copperfield,Charles Dickens,33.6107728405,-1.11874954134
Emma,Jane Austen,5.04929368273,-2.98098185085
Great Expectations,Charles Dickens,9.57402014001,-0.793140305474
Hard Times,Charles Dickens,-4.7064858937,-0.60359466874
Life on the Mississippi,Mark Twain,0.697879885335,2.7296192238
Oliver Twist,Charles Dickens,8.39934217579,0.0859106309444
Persuasion,Jane Austen,-6.19332620098,-2.31162195611
Pride and Prejudice,Jane Austen,1.80064656202,-3.3166026801
Sense and Sensibility,Jane Austen,-1.75336722427,-2.80456059816
The Adventures of Sherlock Holmes,Arthur Conan Doyle,-5.7349575872,0.357027185147
The Adventures of Tom Sawyer,Mark Twain,-5.27335945561,1.25539728437
The Hound of the Baskervilles,Arthur Conan Doyle,-6.24388870311,-0.448259708271
The Innocents Abroad,Mark Twain,6.38906862964,6.02284150718
The Mysterious Stranger,Mark Twain,-22.9430246144,-0.348271109503
The Prince and the Pauper,Mark Twain,-7.37305092623,1.93126221776
The Return of Sherlock Holmes,Arthur Conan Doyle,4.91434686496,-0.278157233325
The Sign of the Four,Arthur Conan Doyle,-10.8429655247,-0.366827725812
Treasure Island,Robert Louis Stevenson,-10.8557346114,0.828711656843
